Name,Value,,,,,,,,,,,,,,,
Schedule,PosnerExogenous_probe_tone,,,,,,,,,,,,,,,
Environment,Chamber4 [4],,,,,,,,,,,,,,,
Date/Time,13/07/2019 18:36,,,,,,,,,,,,,,,
Database,TEST,,,,,,,,,,,,,,,
SessionId,1051,,,,,,,,,,,,,,,
Index,0,,,,,,,,,,,,,,,
Version,N/A,,,,,,,,,,,,,,,
MachineName,KMBD-03541-W,,,,,,,,,,,,,,,
SGuid,,,,,,,,,,,,,,,,
Animal ID,999,,,,,,,,,,,,,,,
Application_Version,ABET II Touch 18.11.01.0,,,,,,,,,,,,,,,
Max_Number_Trials,0,,,,,,,,,,,,,,,
Max_Schedule_Time,0,,,,,,,,,,,,,,,
Schedule_Start_Time,2019-07-13T18:36:55.200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
----------,,,,,,,,,,,,,,,,
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
26.634,16,Variable Event,zzMT_Timer,,10,1,Value,0,,,,,,,,
26.634,21,Group Change Event,Group Change,,10,1,New Group,27,,,,,,,,
26.634,1,Condition Event,Change Hold Time,,27,0,,,,,,,,,,
26.634,16,Variable Event,Hold_Time_Adjuster,,27,1,Value,0.19,,,,,,,,
26.634,21,Group Change Event,Group Change,,27,1,New Group,3,,,,,,,,
26.634,1,Condition Event,First 10 trials,,3,0,,,,,,,,,,
26.634,16,Variable Event,All_Trials_Counter,,3,1,Value,1,,,,,,,,
26.634,16,Variable Event,_Trial_Counter,,3,1,Value,1,,,,,,,,
26.634,16,Variable Event,Correct_Percent,,3,1,Value,1,,,,,,,,
26.634,16,Variable Event,Correct_Percent,,3,1,Value,1,,,,,,,,
26.634,16,Variable Event,Correct_Percent,,3,1,Value,100,,,,,,,,
26.634,16,Variable Event,Accuracy_NoAE,,3,1,Value,1,,,,,,,,
26.634,16,Variable Event,Accuracy_NoAE,,3,1,Value,1,,,,,,,,
26.634,16,Variable Event,Accuracy_NoAE,,3,1,Value,100,,,,,,,,
26.634,19,List Change - Next Value,First_10_Trial,,3,2,Index,6,Value,331,,,,,,
26.634,16,Variable Event,Trial_Type,,3,1,Value,331,,,,,,,,
26.634,19,List Change - Next Value,First_10_Tone_Cue,,3,2,Index,1,Value,0,,,,,,
26.634,16,Variable Event,Tone_Cue,,3,1,Value,0,,,,,,,,
26.634,21,Group Change Event,Group Change,,3,1,New Group,4,,,,,,,,
26.634,1,Condition Event,Select Trial Type,,4,0,,,,,,,,,,
26.634,32,Whisker - Display Image,Posner task,Image,4,2,Position,4,CentralStimulus,0,,,,,,
26.634,16,Variable Event,aTrial_Set,,4,1,Value,331,,,,,,,,
26.634,16,Variable Event,aTone_Set,,4,1,Value,0,,,,,,,,
26.634,16,Variable Event,Hold_Time,,4,1,Value,0.19,,,,,,,,
26.634,21,Group Change Event,Group Change,,4,1,New Group,5,,,,,,,,
26.634,1,Condition Event,Trial set 331,,5,0,,,,,,,,,,
26.634,16,Variable Event,Cue_Position,,5,1,Value,3,,,,,,,,
26.634,16,Variable Event,Target_Position,,5,1,Value,3,,,,,,,,
26.634,16,Variable Event,Incorrect_Position,,5,1,Value,1,,,,,,,,
26.634,21,Group Change Event,Group Change,,5,1,New Group,15,,,,,,,,
28.463,30,Touch Down Event,Posner task,,15,4,Position,4,CentralStimulus,0,CoordX,26,CoordY,93,,
28.464,1,Condition Event,Display Cue_No Tone,,15,0,,,,,,,,,,
28.464,32,Whisker - Display Image,Posner task,Image,15,2,Position,4,dim,2,,,,,,
28.464,32,Whisker - Display Image,Posner task,Image,15,2,Position,3,Cue,3,,,,,,
28.464,29,Timer Event,Hold_Timer,,15,1,Value,0,,,,,,,,
28.464,21,Group Change Event,Group Change,,15,1,New Group,37,,,,,,,,
