Schedule,Animal_Id,Group_Id,Date,Database,Chamber,Session_Id,Day,TimeStamp,Trial_Number,Cue_Type,Cue_Validity,Cue_Time,Hold_Time,Target_Time,Correct_Selection,AnticipationError,CommissionError,OmissionError,Reaction_Time,Movement_Time,Touchscreen_error,Audio_Tone,Concecutive_Ant_Errors_Before_Trial,Ant_Error_Train_After_Trial,Percentage_Anticipation_Errors,Percentage_Anticipation_Errors_Per_Mouse
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1222.731,79,Right,Valid,0.15,0.199,1.0,1,0,0,0,0.35803223,0.2989502,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1233.345,80,Right,Invalid,0.15,0.176,1.0,1,0,0,0,0.45300293,0.17907715,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1245.141,81,Left,Invalid,0.15,0.195,1.0,0,0,1,0,0.36010742,0.31799316,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1257.947,82,Right,Valid,0.15,0.182,1.0,0,0,1,0,0.2590332,0.19897461,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1269.053,83,Left,Invalid,0.15,0.188,1.0,0,0,1,0,0.36706543,0.38000488,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1280.79,84,Left,Valid,0.15,0.193,1.0,1,0,0,0,0.26989746,0.21801758,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1310.882,85,Left,Invalid,0.15,0.192,1.0,0,0,1,0,0.20898438,0.23901367,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1329.612,86,Right,Valid,0.15,0.188,1.0,1,0,0,0,0.28894043,0.17810059,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1353.066,87,Right,Invalid,0.15,0.186,1.0,1,0,0,0,0.17797852,0.17993164,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1362.745,88,Right,Invalid,0.15,0.182,1.0,1,0,0,0,0.25805664,0.31896973,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1375.043,89,Left,Valid,0.15,0.183,1.0,0,0,1,0,0.20092773,0.8980713,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1393.582,90,Right,Invalid,0.15,0.186,1.0,1,0,0,0,0.29504395,0.2590332,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1411.609,91,Left,Invalid,0.15,0.186,1.0,0,0,1,0,0.25500488,0.31799316,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1423.554,92,Left,Valid,0.15,0.199,1.0,1,0,0,0,0.12695312,0.25805664,0,tone,0,0,6.557377,6.557377
